fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
110,VICTORIA,0908,12626,862,441,7419,3732,4721,3304,8025
158,DOLORES,0909,6347,956,453,3160,1701,2360,2842,5202
39,APASTEPEQUE,1001,18342,3046,1722,9240,4162,15836,6749,22585
46,GUADALUPE,1002,5486,2054,1601,1022,715,6021,4402,10423
45,SAN CAYETANO ISTEPEQUE,1003,5103,1164,432,2216,1227,9206,5500,14706
112,SANTA CLARA,1004,5349,428,489,3068,1306,16312,6100,22412
42,SANTO DOMINGO,1005,6445,1197,860,2814,1360,6216,2619,8835
113,SAN ESTEBAN CATARINA,1006,5661,1734,766,1830,1289,13510,8273,21783
48,SAN ILDEFONSO,1007,7799,1425,718,3592,1909,5620,3305,8925
43,SAN LORENZO,1008,6055,1241,748,2901,1049,2846,1146,3992
40,SAN SEBASTIAN,1009,14411,3944,2543,5138,2639,160849,50760,211609
114,SAN VICENTE,1010,53213,23902,10344,10389,5688,8738,4321,13059
47,TECOLUCA,1011,23893,5763,4578,6872,6283,13492,4687,18179
44,TEPETITAN,1012,3631,1277,548,1185,567,14424,5186,19610
41,VERAPAZ,1013,6257,1502,940,2565,1205,1659,1617,3276
57,ALEGRIA,1101,11712,984,542,6679,3346,1961,1136,3097
51,BERLIN,1102,17787,6370,3231,4438,3479,7368,3362,10730
147,CALIFORNIA,1103,2628,1105,538,541,415,2803,7342,10145
152,CONCEPCION BATRES,1104,12197,2161,1026,6470,2435,764,887,1651
53,EL TRIUNFO,1105,6924,2237,806,2696,1124,1031,749,1780
150,EREGUAYQUIN,1106,6119,1386,531,3018,1138,1615,1409,3024
49,ESTANZUELAS,1107,9015,2616,1183,3782,1238,1488,1291,2779
143,JIQUILISCO,1108,47784,13881,6104,15686,11426,911,2031,2942
56,JUCUAPA,1109,18442,6910,3125,4995,2846,817,1961,2778
155,JUCUARAN,1110,13424,814,326,9013,3144,892,415,1307
192,MERCEDES UMANA,1111,13092,2245,838,7024,2863,3857,3672,7529
52,NUEVA GRANADA,1112,7451,820,490,4218,1876,2372,1775,4147
148,OZATLAN,1113,12443,3394,1657,4684,2634,4412,5267,9679
154,PUERTO EL TRIUNFO,1114,16584,6737,2796,4730,2212,1288,2119,3407
50,SAN AGUSTIN,1115,6518,1679,1420,1725,1638,3025,1949,4974
54,SAN BUENA VENTURA,1116,4726,540,359,2789,952,2287,1235,3522
153,SAN DIONISIO,1117,4945,969,309,2664,1000,9269,3701,12970
144,SANTA ELENA,1118,17342,3511,1646,8286,3732,5224,3405,8629
145,SAN FRANCISCO JAVIER,1119,5409,568,432,2352,1995,4944,5184,10128
149,SANTA MARIA,1120,10731,5870,2239,1628,826,4570,8033,12603
