,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
286,SAN RAFAEL OBRAJUELO,817,0817,RURAL,NA,40,150,4518
287,SANTA MARIA OSTUMA,818,0818,URBANO,NA,6,94,1452
288,SANTA MARIA OSTUMA,818,0818,RURAL,NA,17,30,4391
289,SANTIAGO NONUALCO,819,0819,URBANO,NA,141,764,11108
290,SANTIAGO NONUALCO,819,0819,RURAL,NA,312,541,27021
291,TAPALHUACA,820,0820,URBANO,NA,4,63,668
292,TAPALHUACA,820,0820,RURAL,NA,11,60,3003
293,ZACATECOLUCA,821,0821,URBANO,369,740,4026,36992
294,ZACATECOLUCA,821,0821,RURAL,55,282,232,23130
295,SAN LUIS LA HERRADURA,822,0822,URBANO,NA,104,263,8352
296,SAN LUIS LA HERRADURA,822,0822,RURAL,NA,233,101,11352
297,CINQUERA,901,0901,URBANO,NA,NA,14,440
298,CINQUERA,901,0901,RURAL,NA,7,13,993
299,GUACOTECTI,902,0902,URBANO,15,51,134,2219
300,GUACOTECTI,902,0902,RURAL,NA,55,38,3038
301,ILOBASCO,903,0903,URBANO,374,452,2403,20549
302,ILOBASCO,903,0903,RURAL,NA,1129,281,36322
303,JUTIAPA,904,0904,URBANO,NA,NA,14,613
304,JUTIAPA,904,0904,RURAL,NA,103,14,5840
305,SAN ISIDRO,905,0905,URBANO,NA,15,148,1388
306,SAN ISIDRO,905,0905,RURAL,NA,152,100,5993
307,SENSUNTEPEQUE,906,0906,URBANO,352,244,1898,12901
308,SENSUNTEPEQUE,906,0906,RURAL,NA,481,287,24169
309,TEJUTEPEQUE,907,0907,URBANO,NA,1,139,2605
310,TEJUTEPEQUE,907,0907,RURAL,NA,38,26,4305
311,VICTORIA,908,0908,URBANO,NA,11,161,1140
312,VICTORIA,908,0908,RURAL,NA,68,100,11146
313,DOLORES,909,0909,URBANO,NA,NA,41,1372
314,DOLORES,909,0909,RURAL,NA,69,19,4846
315,APASTEPEQUE,1001,1001,URBANO,NA,76,583,4200
316,APASTEPEQUE,1001,1001,RURAL,NA,77,201,13205
317,GUADALUPE,1002,1002,URBANO,NA,64,105,3552
318,GUADALUPE,1002,1002,RURAL,NA,21,56,1688
319,SAN CAYETANO ISTEPEQUE,1003,1003,URBANO,NA,15,169,1426
320,SAN CAYETANO ISTEPEQUE,1003,1003,RURAL,NA,37,109,3347
321,SANTA CLARA,1004,1004,URBANO,NA,40,48,859
322,SANTA CLARA,1004,1004,RURAL,NA,18,62,4322
323,SANTO DOMINGO,1005,1005,URBANO,120,44,221,1836
324,SANTO DOMINGO,1005,1005,RURAL,NA,26,118,4080
325,SAN ESTEBAN CATARINA,1006,1006,URBANO,NA,13,226,2288
326,SAN ESTEBAN CATARINA,1006,1006,RURAL,1,12,16,3105
327,SAN ILDEFONSO,1007,1007,URBANO,NA,42,82,2058
328,SAN ILDEFONSO,1007,1007,RURAL,NA,53,59,5505
329,SAN LORENZO,1008,1008,URBANO,NA,56,88,1917
330,SAN LORENZO,1008,1008,RURAL,NA,45,81,3868
331,SAN SEBASTIAN,1009,1009,URBANO,10,76,780,5687
332,SAN SEBASTIAN,1009,1009,RURAL,1,45,124,7688
333,SAN VICENTE,1010,1010,URBANO,1398,1120,4483,29699
334,SAN VICENTE,1010,1010,RURAL,3,379,298,15833
335,TECOLUCA,1011,1011,URBANO,NA,113,269,10094
336,TECOLUCA,1011,1011,RURAL,NA,198,148,13071
337,TEPETITAN,1012,1012,URBANO,NA,10,144,1691
