fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
69,ORATORIO DE CONCEPCION,0706,3578,44,815,17,2692,6347,63814,70161
70,SAN BARTOLOME PERULAPIA,0707,8058,486,4124,64,3204,7512,81503,89015
78,SAN CRISTOBAL,0708,8316,18,847,65,7277,13381,112348,125729
68,SAN JOSE GUAYABAL,0709,9300,243,2614,75,6326,1606,27332,28938
71,SAN PEDRO PERULAPAN,0710,44730,602,13872,397,28385,1297,21460,22757
75,SAN RAFAEL CEDROS,0711,17069,586,4527,325,11219,1585,18849,20434
80,SAN RAMON,0712,6292,46,1208,66,4932,447,13852,14299
81,SANTA CRUZ ANALQUITO,0713,2585,54,1749,2,776,177,7562,7739
72,SANTA CRUZ MICHAPA,0714,11790,318,6266,72,5040,309,28024,28333
66,SUCHITOTO,0715,24786,500,7105,142,16961,420,7895,8315
67,TENANCINGO,0716,6782,47,867,113,5666,420,11992,12412
88,CUYULTITAN,0801,5590,323,3022,91,2107,837,41515,42352
85,EL ROSARIO,0802,16784,475,8712,97,7148,330,29094,29424
102,JERUSALEN,0803,2570,29,416,28,2085,589,8376,8965
103,MERCEDES LA CEIBA,0804,637,16,458,0,152,554,7491,8045
83,OLOCUILTA,0805,29529,1491,13843,354,12918,2296,31095,33391
99,PARAISO DE OSORIO,0806,2727,31,1711,0,976,6580,102331,108911
86,SAN ANTONIO MASAHUAT,0807,4258,60,1033,46,3090,257,8895,9152
100,SAN EMIGDIO,0808,2818,39,1328,7,1407,1196,34215,35411
89,SAN FRANCISCO CHINAMECA,0809,7387,106,2521,53,4595,25,5067,5092
93,SAN JUAN NONUALCO,0810,17256,612,6898,89,9491,2650,19700,22350
84,SAN JUAN TALPA,0811,7707,210,4294,79,3059,911,12431,13342
90,SAN JUAN TEPEZONTES,0812,3630,55,1247,9,2288,381,13453,13834
82,SAN LUIS TALPA,0813,21675,401,12535,167,8204,301,13021,13322
101,SAN MIGUEL TEPEZONTES,0814,5084,90,2470,15,2486,163,10635,10798
92,SAN PEDRO MASAHUAT,0815,25446,416,12366,215,11859,851,5970,6821
97,SAN PEDRO NONUALCO,0816,9252,173,2894,28,6039,171,12031,12202
95,SAN RAFAEL OBRAJUELO,0817,9820,419,4618,150,4518,274,11404,11678
98,SANTA MARIA OSTUMA,0818,5990,94,1452,30,4391,20734,12178,32912
91,SANTIAGO NONUALCO,0819,39887,764,11108,541,27021,251,7880,8131
87,TAPALHUACA,0820,3809,63,668,60,3003,475,9937,10412
94,ZACATECOLUCA,0821,65826,4026,36992,232,23130,460,13695,14155
96,SAN LUIS LA HERRADURA,0822,20405,263,8352,101,11352,53522,62498,116020
108,CINQUERA,0901,1467,14,440,13,993,9693,84757,94450
111,GUACOTECTI,0902,5550,134,2219,38,3038,566,11474,12040
104,ILOBASCO,0903,61510,2403,20549,281,36322,2784,55516,58300
106,JUTIAPA,0904,6584,14,613,14,5840,4604,46113,50717
105,SAN ISIDRO,0905,7796,148,1388,100,5993,178,7018,7196
109,SENSUNTEPEQUE,0906,40332,1898,12901,287,24169,5679,65876,71555
107,TEJUTEPEQUE,0907,7114,139,2605,26,4305,674,18780,19454
110,VICTORIA,0908,12626,161,1140,100,11146,116,18743,18859
158,DOLORES,0909,6347,41,1372,19,4846,103,6918,7021
