fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
175,ULUAZAPA,1220,3351,7,1254,0,2018,7,3272,3279
180,ARAMBALA,1301,1821,2,256,4,1548,6,1804,1810
178,CACAOPERA,1302,10943,9,1059,0,8981,9,10040,10049
124,CORINTO,1303,15410,62,3233,0,11788,62,15021,15083
116,CHILANGA,1304,9700,25,1186,10,8263,35,9449,9484
190,DELICIAS DE CONCEPCION,1305,5076,72,1967,7,3001,79,4968,5047
122,EL DIVISADERO,1306,7617,8,742,43,6637,51,7379,7430
185,EL ROSARIO,1307,1339,3,470,0,864,3,1334,1337
189,GUALOCOCTI,1308,3650,5,880,0,2522,5,3402,3407
117,GUATAJIAGUA,1309,11721,28,3621,10,7681,38,11302,11340
187,JOATECA,1310,4210,6,803,4,3344,10,4147,4157
182,JOCOAITIQUE,1311,2877,0,807,0,2026,0,2833,2833
123,JOCORO,1312,10060,90,2849,26,6628,116,9477,9593
115,LOLOTIQUILLO,1313,4915,25,978,14,3787,39,4765,4804
186,MEANGUERA,1314,7818,3,1454,12,6082,15,7536,7551
193,OSICALA,1315,8909,102,1885,4,6732,106,8617,8723
181,PERQUIN,1316,3158,21,156,5,2873,26,3029,3055
121,SAN CARLOS,1317,4172,27,946,0,3137,27,4083,4110
179,SAN FERNANDO,1318,1708,0,210,0,1448,0,1658,1658
118,SAN FRANCISCO GOTERA,1319,21049,475,14363,6,5040,481,19403,19884
184,SAN ISIDRO,1320,2804,9,736,0,2049,9,2785,2794
188,SAN SIMON,1321,10102,18,1484,0,8191,18,9675,9693
119,SENSEMBRA,1322,2940,12,756,0,2102,12,2858,2870
177,SOCIEDAD,1323,11406,13,965,4,9662,17,10627,10644
183,TOROLA,1324,3042,0,211,0,2745,0,2956,2956
120,YAMABAL,1325,4346,10,508,8,3679,18,4187,4205
191,YOLOAIQUIN,1326,3613,20,600,12,2914,32,3514,3546
129,ANAMOROS,1401,14551,55,1611,7,11940,62,13551,13613
137,BOLIVAR,1402,4215,7,488,1,3619,8,4107,4115
135,CONCEPCION DE ORIENTE,1403,8179,32,949,10,6944,42,7893,7935
130,CONCHAGUA,1404,37362,362,16226,28,20062,390,36288,36678
140,EL CARMEN,1405,12324,20,1741,36,10250,56,11991,12047
128,EL SAUCE,1406,6546,16,863,15,5275,31,6138,6169
131,INTIPUCA,1407,7567,46,2739,8,4594,54,7333,7387
141,LA UNION,1408,34045,736,16688,30,15705,766,32393,33159
133,LISLIQUE,1409,13385,12,574,31,12002,43,12576,12619
142,MEANGUERA DEL GOLFO,1410,2398,0,444,0,1862,0,2306,2306
132,NUEVA ESPARTA,1411,9637,44,1290,9,8139,53,9429,9482
126,PASAQUINA,1412,16375,82,3334,38,12552,120,15886,16006
134,POLOROS,1413,9701,10,987,26,8374,36,9361,9397
125,SAN ALEJO,1414,17598,47,2867,17,14294,64,17161,17225
138,SAN JOSE,1415,2971,4,771,16,2117,20,2888,2908
127,SANTA ROSA DE LIMA,1416,27693,532,12608,63,13623,595,26231,26826
139,YAYANTIQUE,1417,6871,13,2865,4,3801,17,6666,6683
136,YUCUAIQUIN,1418,6799,51,1106,34,4761,85,5867,5952
