,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
372,SAN BUENA VENTURA,1116,1116,RURAL,NA,46,2789,952
373,SAN DIONISIO,1117,1117,URBANO,NA,3,969,309
374,SAN DIONISIO,1117,1117,RURAL,NA,NA,2664,1000
375,SANTA ELENA,1118,1118,URBANO,NA,27,3511,1646
376,SANTA ELENA,1118,1118,RURAL,NA,140,8286,3732
377,SAN FRANCISCO JAVIER,1119,1119,URBANO,NA,NA,568,432
378,SAN FRANCISCO JAVIER,1119,1119,RURAL,NA,62,2352,1995
379,SANTA MARIA,1120,1120,URBANO,NA,87,5870,2239
380,SANTA MARIA,1120,1120,RURAL,NA,81,1628,826
381,SANTIAGO DE MARIA,1121,1121,URBANO,50,284,10172,3833
382,SANTIAGO DE MARIA,1121,1121,RURAL,NA,54,2671,1137
383,TECAPAN,1122,1122,URBANO,NA,32,1846,1676
384,TECAPAN,1122,1122,RURAL,NA,29,2703,1411
385,USULUTAN,1123,1123,URBANO,695,874,36749,13178
386,USULUTAN,1123,1123,RURAL,NA,435,13708,7425
387,CAROLINA,1201,1201,URBANO,NA,20,612,579
388,CAROLINA,1201,1201,RURAL,1,194,4109,2725
389,CIUDAD BARRIOS,1202,1202,URBANO,1421,319,5170,1722
390,CIUDAD BARRIOS,1202,1202,RURAL,NA,492,10666,5027
391,COMACARAN,1203,1203,URBANO,NA,8,284,156
392,COMACARAN,1203,1203,RURAL,NA,94,1677,980
393,CHAPELTIQUE,1204,1204,URBANO,NA,14,1748,610
394,CHAPELTIQUE,1204,1204,RURAL,NA,291,4273,3792
395,CHINAMECA,1205,1205,URBANO,NA,118,4304,1801
396,CHINAMECA,1205,1205,RURAL,NA,410,9206,6472
397,CHIRILAGUA,1206,1206,URBANO,NA,66,2225,816
398,CHIRILAGUA,1206,1206,RURAL,NA,308,12199,4370
399,EL TRANSITO,1207,1207,URBANO,NA,75,5616,1921
400,EL TRANSITO,1207,1207,RURAL,NA,109,7876,2766
401,LOLOTIQUE,1208,1208,URBANO,NA,70,2421,1917
402,LOLOTIQUE,1208,1208,RURAL,NA,140,6785,3583
403,MONCAGUA,1209,1209,URBANO,NA,41,4504,1902
404,MONCAGUA,1209,1209,RURAL,NA,206,11808,4198
405,NUEVA GUADALUPE,1210,1210,URBANO,NA,43,3564,1457
406,NUEVA GUADALUPE,1210,1210,RURAL,1,26,2652,1162
407,NUEVO EDEN DE SAN JUAN,1211,1211,URBANO,6,NA,488,87
408,NUEVO EDEN DE SAN JUAN,1211,1211,RURAL,NA,64,2551,838
409,QUELEPA,1212,1212,URBANO,NA,21,1578,763
410,QUELEPA,1212,1212,RURAL,NA,36,1268,383
411,SAN ANTONIO,1213,1213,URBANO,NA,7,233,186
412,SAN ANTONIO,1213,1213,RURAL,NA,95,2127,2656
