ID,ID_Alf,Año,Codigo_Departamento,Departamento,Codigo_Municipio_Alf,Codigo_Municipio,Municipio,Territorios_Funcionales,PESS,Tamaño_Municipio,Poblacion,Poblacion_Hombres,Poblacion_Mujeres,Homicidios_PNC,Hom_Multiple,Amenazas,Privacion_Libertad_PNC,Homicidios_Fuego_IML,Homicidios_IML,Homicidios_Mujeres_IML,Lesiones_IML,Lesiones_Mujeres_IML,Lesiones_Hombres,Lesiones_Fuego_IML,Violacion_IML,Vsexual_IML,Violacion_Mujeres_IML,Robo_Hombres_FGR,Robo_Mujeres_FGR,Robo_FGR,Extorsion_FGR,Ingresos_Tasas,Deflactor,Ingresos_Real,ingreso_real_hab,Consumo_KW,Consumo_KW_hab,Pobreza_FISDL,Homicidios_Habitantes,Amenazas_Habitantes,Privacion_Habitantes,Lesiones_Habitantes,Vsexual_Habitantes,Robo_Habitantes,Extorsion_Habitantes
3122008,03122008,2008,3,SONSONATE,0312,312,SANTA CATARINA MASAHUAT,,No Pertenece,Mediano,10757,,,1,0,3,0,1,1,1,0,0,0,0,1,2,1,3,0,4,0,23631.22,88.3,26762.42355605889,2.487907648086548,995336.4799999999,92.52919006347656,55.9,9.2962723,27.888817,0,0,18.592545,37.185089,0
3132008,03132008,2008,3,SONSONATE,0313,313,SANTA ISABEL ISHUATAN,,No Pertenece,Mediano,10863,,,2,0,2,0,1,2,0,0,0,0,0,2,4,2,0,0,0,1,21364.93,88.3,24195.84371460929,2.227362871170044,1617240.87,148.8760833740234,74.40000000000001,18.411119,18.411119,0,0,36.822239,0,9.2055597
3142008,03142008,2008,3,SONSONATE,0314,314,SANTO DOMINGO DE GUZMAN,,No Pertenece,Pequeño,7495,,,0,0,1,1,0,0,0,0,0,0,0,5,7,4,3,2,5,0,23341.36,88.3,26434.15628539071,3.526905536651611,929633.3200000001,124.0337982177734,71.7,0,13.342228,13.342228,0,93.395599,66.711143,0
3152008,03152008,2008,3,SONSONATE,0315,315,SONSONATE,2,Pertenece,Grande,75437,,,103,0,25,3,82,104,6,9,5,4,0,49,79,44,43,13,74,29,2443709.55,88.3,2767507.98414496,36.68634796142578,56725270.05,751.95556640625,33.4,137.86339,33.140236,3.9768283,11.930485,104.72314,98.0951,38.442673
3162008,03162008,2008,3,SONSONATE,0316,316,SONZACATE,2,No Pertenece,Grande,27479,,,35,4,5,1,28,35,7,1,0,1,0,10,15,9,6,0,6,3,250569.46,88.3,283770.6228765572,10.32681751251221,11631512.02,423.2873229980469,23.3,127.37,18.195713,3.6391425,3.6391425,54.587139,21.834856,10.917428
4012008,04012008,2008,4,CHALATENANGO,0401,401,AGUA CALIENTE,,No Pertenece,Pequeño,8417,,,5,0,10,0,4,5,0,7,2,5,0,4,4,4,0,0,1,0,35801.82,88.3,40545.66251415628,4.817115783691406,2359566.81,280.3334655761719,57.3,59.403587,118.80717,0,83.165024,47.522869,11.880717,0
4022008,04022008,2008,4,CHALATENANGO,0402,402,ARCATAO,,No Pertenece,Pequeño,2942,,,1,0,7,0,1,1,0,7,0,7,0,1,2,1,0,0,0,0,17738.14,88.3,20088.49377123443,6.828176021575928,515116.52,175.0905914306641,72,33.990482,237.93338,0,237.93338,67.980965,0,0
4032008,04032008,2008,4,CHALATENANGO,0403,403,AZACUALPA,,No Pertenece,Pequeño,1143,,,0,0,2,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,6195.53,88.3,7016.455266138166,6.138630867004395,534147.97,467.321044921875,58.6,0,174.97813,0,699.91254,0,0,0
4042008,04042008,2008,4,CHALATENANGO,0404,404,CITALA,,No Pertenece,Pequeño,4214,,,3,0,1,0,1,3,0,6,2,4,0,0,3,0,0,0,0,1,27010.93,88.3,30589.95469988675,7.259125232696533,1293281.94,306.9012756347656,55.7,71.191269,23.730423,0,142.38254,71.191269,0,23.730423
4052008,04052008,2008,4,CHALATENANGO,0405,405,COMALAPA,,No Pertenece,Pequeño,3021,,,1,0,6,0,1,1,0,6,3,3,0,3,5,3,0,0,0,1,10041.54,88.3,11372.0724801812,3.764340400695801,876055.2100000002,289.9884948730469,64.7,33.101624,198.60973,0,198.60973,165.5081,0,33.101624
