,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
255,EL ROSARIO,802,0802,URBANO,2,199,96,9077
256,EL ROSARIO,802,0802,RURAL,13,258,1,7138
257,JERUSALEN,803,0803,URBANO,NA,3,NA,445
258,JERUSALEN,803,0803,RURAL,NA,18,NA,2104
259,MERCEDES LA CEIBA,804,0804,URBANO,NA,7,NA,478
260,MERCEDES LA CEIBA,804,0804,RURAL,NA,NA,NA,152
261,OLOCUILTA,805,0805,URBANO,8,667,195,15047
262,OLOCUILTA,805,0805,RURAL,48,313,16,13235
263,PARAISO DE OSORIO,806,0806,URBANO,NA,7,NA,1744
264,PARAISO DE OSORIO,806,0806,RURAL,NA,NA,NA,976
265,SAN ANTONIO MASAHUAT,807,0807,URBANO,NA,8,NA,1093
266,SAN ANTONIO MASAHUAT,807,0807,RURAL,NA,33,NA,3124
267,SAN EMIGDIO,808,0808,URBANO,NA,14,NA,1359
268,SAN EMIGDIO,808,0808,RURAL,NA,23,1,1421
269,SAN FRANCISCO CHINAMECA,809,0809,URBANO,NA,30,7,2622
270,SAN FRANCISCO CHINAMECA,809,0809,RURAL,NA,85,NA,4643
271,SAN JUAN NONUALCO,810,0810,URBANO,9,81,96,7414
272,SAN JUAN NONUALCO,810,0810,RURAL,NA,80,2,9574
273,SAN JUAN TALPA,811,0811,URBANO,NA,40,39,4457
274,SAN JUAN TALPA,811,0811,RURAL,NA,36,NA,3135
275,SAN JUAN TEPEZONTES,812,0812,URBANO,NA,29,6,1285
276,SAN JUAN TEPEZONTES,812,0812,RURAL,3,10,NA,2297
277,SAN LUIS TALPA,813,0813,URBANO,NA,346,66,12806
278,SAN LUIS TALPA,813,0813,RURAL,NA,96,5,8356
279,SAN MIGUEL TEPEZONTES,814,0814,URBANO,NA,22,20,2525
280,SAN MIGUEL TEPEZONTES,814,0814,RURAL,1,23,NA,2493
281,SAN PEDRO MASAHUAT,815,0815,URBANO,24,361,45,12686
282,SAN PEDRO MASAHUAT,815,0815,RURAL,NA,295,25,12010
283,SAN PEDRO NONUALCO,816,0816,URBANO,23,30,51,3015
284,SAN PEDRO NONUALCO,816,0816,RURAL,1,70,NA,6062
285,SAN RAFAEL OBRAJUELO,817,0817,URBANO,34,63,108,4907
286,SAN RAFAEL OBRAJUELO,817,0817,RURAL,NA,46,5,4657
287,SANTA MARIA OSTUMA,818,0818,URBANO,NA,6,6,1540
288,SANTA MARIA OSTUMA,818,0818,RURAL,NA,33,6,4399
289,SANTIAGO NONUALCO,819,0819,URBANO,NA,171,116,11726
290,SANTIAGO NONUALCO,819,0819,RURAL,NA,398,23,27453
291,TAPALHUACA,820,0820,URBANO,NA,5,9,721
292,TAPALHUACA,820,0820,RURAL,NA,20,4,3050
293,ZACATECOLUCA,821,0821,URBANO,369,848,673,40237
294,ZACATECOLUCA,821,0821,RURAL,55,344,11,23289
295,SAN LUIS LA HERRADURA,822,0822,URBANO,NA,122,30,8567
296,SAN LUIS LA HERRADURA,822,0822,RURAL,NA,265,4,11417
297,CINQUERA,901,0901,URBANO,NA,3,NA,451
298,CINQUERA,901,0901,RURAL,NA,11,NA,1002
299,GUACOTECTI,902,0902,URBANO,15,70,38,2296
300,GUACOTECTI,902,0902,RURAL,NA,63,NA,3068
301,ILOBASCO,903,0903,URBANO,374,482,475,22447
302,ILOBASCO,903,0903,RURAL,NA,1330,15,36387
303,JUTIAPA,904,0904,URBANO,NA,1,NA,626
304,JUTIAPA,904,0904,RURAL,NA,100,NA,5857
305,SAN ISIDRO,905,0905,URBANO,NA,24,30,1497
306,SAN ISIDRO,905,0905,RURAL,NA,141,23,6081
307,SENSUNTEPEQUE,906,0906,URBANO,352,334,380,14329
308,SENSUNTEPEQUE,906,0906,RURAL,NA,511,25,24401
309,TEJUTEPEQUE,907,0907,URBANO,NA,22,30,2693
310,TEJUTEPEQUE,907,0907,RURAL,NA,71,NA,4298
311,VICTORIA,908,0908,URBANO,NA,25,19,1268
312,VICTORIA,908,0908,RURAL,NA,102,5,11207
313,DOLORES,909,0909,URBANO,NA,9,NA,1404
314,DOLORES,909,0909,RURAL,NA,73,NA,4861
315,APASTEPEQUE,1001,1002,URBANO,NA,139,45,4675
316,APASTEPEQUE,1001,1002,RURAL,NA,125,30,13328
317,GUADALUPE,1002,1003,URBANO,NA,64,23,3634
318,GUADALUPE,1002,1003,RURAL,NA,21,3,1741
319,SAN CAYETANO ISTEPEQUE,1003,1004,URBANO,NA,11,5,1594
320,SAN CAYETANO ISTEPEQUE,1003,1004,RURAL,NA,66,35,3392
321,SANTA CLARA,1004,1005,URBANO,NA,40,NA,907
322,SANTA CLARA,1004,1005,RURAL,NA,152,NA,4250
323,SANTO DOMINGO,1005,1006,URBANO,120,45,56,2000
324,SANTO DOMINGO,1005,1006,RURAL,NA,35,15,4174
325,SAN ESTEBAN CATARINA,1006,1007,URBANO,NA,17,29,2481
326,SAN ESTEBAN CATARINA,1006,1007,RURAL,1,27,4,3102
327,SAN ILDEFONSO,1007,1008,URBANO,NA,61,13,2108
328,SAN ILDEFONSO,1007,1008,RURAL,NA,139,10,5468
329,SAN LORENZO,1008,1009,URBANO,NA,81,16,1964
330,SAN LORENZO,1008,1009,RURAL,NA,41,NA,3953
331,SAN SEBASTIAN,1009,1010,URBANO,10,92,176,6275
332,SAN SEBASTIAN,1009,1010,RURAL,1,45,4,7808
333,SAN VICENTE,1010,1011,URBANO,1398,1635,1198,32469
334,SAN VICENTE,1010,1011,RURAL,3,410,39,16061
335,TECOLUCA,1011,1012,URBANO,NA,152,61,10263
336,TECOLUCA,1011,1012,RURAL,NA,273,13,13131
337,TEPETITAN,1012,1013,URBANO,NA,14,30,1801
338,TEPETITAN,1012,1013,RURAL,NA,21,NA,1765
339,VERAPAZ,1013,1014,URBANO,1,18,28,2408
340,VERAPAZ,1013,1014,RURAL,1,46,NA,3755
341,ALEGRIA,1101,1102,URBANO,NA,18,25,1502
342,ALEGRIA,1101,1102,RURAL,NA,164,25,9978
343,BERLIN,1102,1103,URBANO,13,160,206,9403
344,BERLIN,1102,1103,RURAL,NA,106,NA,7899
345,CALIFORNIA,1103,1104,URBANO,NA,3,NA,1642
346,CALIFORNIA,1103,1104,RURAL,NA,27,5,951
347,CONCEPCION BATRES,1104,1105,URBANO,11,24,53,3126
348,CONCEPCION BATRES,1104,1105,RURAL,NA,128,11,8844
349,EL TRIUNFO,1105,1106,URBANO,NA,28,43,3001
350,EL TRIUNFO,1105,1106,RURAL,NA,32,25,3795
351,EREGUAYQUIN,1106,1107,URBANO,NA,NA,21,1899
352,EREGUAYQUIN,1106,1107,RURAL,NA,56,9,4134
353,ESTANZUELAS,1107,1108,URBANO,NA,82,17,3774
354,ESTANZUELAS,1107,1108,RURAL,NA,81,NA,5061
355,JIQUILISCO,1108,1109,URBANO,NA,271,283,19716
356,JIQUILISCO,1108,1109,RURAL,NA,283,17,27214
357,JUCUAPA,1109,1110,URBANO,308,157,217,9786
358,JUCUAPA,1109,1110,RURAL,NA,114,NA,7860
359,JUCUARAN,1110,1111,URBANO,NA,NA,10,1130
360,JUCUARAN,1110,1111,RURAL,1,41,NA,12242
361,MERCEDES UMAÑA,1111,1112,URBANO,3,43,42,3017
362,MERCEDES UMAÑA,1111,1112,RURAL,NA,101,4,9882
363,NUEVA GRANADA,1112,1113,URBANO,NA,4,8,1299
364,NUEVA GRANADA,1112,1113,RURAL,NA,25,7,6108
365,OZATLAN,1113,1114,URBANO,NA,28,38,5017
366,OZATLAN,1113,1114,RURAL,NA,49,7,7304
367,PUERTO EL TRIUNFO,1114,1115,URBANO,NA,31,144,9426
368,PUERTO EL TRIUNFO,1114,1115,RURAL,NA,33,10,6940
369,SAN AGUSTIN,1115,1116,URBANO,NA,32,NA,3093
370,SAN AGUSTIN,1115,1116,RURAL,NA,27,3,3363
371,SAN BUENA VENTURA,1116,1117,URBANO,NA,24,36,879
372,SAN BUENA VENTURA,1116,1117,RURAL,NA,42,21,3724
373,SAN DIONISIO,1117,1118,URBANO,NA,NA,10,1271
374,SAN DIONISIO,1117,1118,RURAL,NA,6,NA,3658
375,SANTA ELENA,1118,1119,URBANO,NA,34,153,4997
376,SANTA ELENA,1118,1119,RURAL,NA,110,8,12040
377,SAN FRANCISCO JAVIER,1119,1120,URBANO,NA,2,12,986
378,SAN FRANCISCO JAVIER,1119,1120,RURAL,NA,39,NA,4370
379,SANTA MARIA,1120,1121,URBANO,NA,181,96,7919
380,SANTA MARIA,1120,1121,RURAL,NA,120,2,2413
381,SANTIAGO DE MARIA,1121,1122,URBANO,50,381,316,13592
382,SANTIAGO DE MARIA,1121,1122,RURAL,NA,66,12,3784
383,TECAPAN,1122,1123,URBANO,NA,84,15,3455
384,TECAPAN,1122,1123,RURAL,NA,6,6,4131
385,USULUTAN,1123,1124,URBANO,695,1513,1406,47882
386,USULUTAN,1123,1124,RURAL,NA,367,47,21154
387,CAROLINA,1201,1202,URBANO,NA,18,4,1189
388,CAROLINA,1201,1202,RURAL,1,170,4,6854
389,CIUDAD BARRIOS,1202,1203,URBANO,1421,389,123,6699
