"NOM_DPTO,C,254","COD_DPTO,C,254","NOM_MUN,C,254","COD_MUN4,C,254","TASA_POBR,N,19,11","POBR_FISDL,C,20","AREA_KM2,N,19,11","POB_TOTAL,N,9,0","POB_HOMB,N,9,0","POB_MUJER,N,9,0","value,N,24,15","area_calc,N,11,2","value_int,N,2,0"
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,639639.45,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,577170.76,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,223357.81,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,189278.97,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,810572.27,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829987.39,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829990.56,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829993.70,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,224241.36,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,829996.81,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,704190.57,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,829999.88,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830025.93,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830002.91,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.000000000000000,830028.66,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.500000000000000,830005.91,7
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,350337.68,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.500000000000000,826249.34,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,7.000000000000000,830008.88,7
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829996.84,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.000000000000000,244227.74,3
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,7.000000000000000,830011.81,7
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829999.91,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830002.95,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.000000000000000,830014.71,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830005.95,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830017.57,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830008.91,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830020.40,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830011.85,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,830023.20,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830014.74,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830025.96,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830017.61,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,830028.68,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830020.43,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830031.37,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830023.23,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830034.03,5
